row_id,koi_eccen,koi_teq,koi_impact,koi_incl,koi_insol,koi_count,koi_period,koi_steff,koi_smass,koi_smet,koi_slogg
8673,0,942,0.156,89.43,186.43,1,5.60682001,5699,0.95,-0.1,4.553
8674,0,1925,0.642,83.84,3246.2,1,6.096030635,7598,1.945,0.06,3.867
8675,0,864,0.907,87.63,131.55,1,31.95303877,5524,1.346,-0.12,3.693
8676,0,945,0.4778,86.52,188.41,1,5.9371708,5475,0.829,-0.12,4.426
8677,0,1980,1.194,11.94,3647.63,1,0.577844035,5693,0.911,-0.24,4.57
8678,0,1551,0.285,83.86,1371.02,1,2.630090609,6315,0.875,-0.76,4.292
8679,0,519,0.399,89.24,17.15,1,43.20459678,6003,1.019,-0.14,4.507
8680,0,2340,0.008,89.75,7086.5,2,1.75147897,6823,1.66,0.36,4.04
8681,0,1034,0.901,87.46,270.25,2,3.17796408,5061,0.793,0.1,4.488
8682,0,1168,0.045,89.7,439.57,2,3.66520844,5579,0.945,0.14,4.389
8683,0,1047,0.328,88.2,284.82,2,3.05293416,5311,0.884,-0.04,4.588
8684,0,755,0.278,89.65,76.96,2,12.834857,5492,0.921,0.16,4.389
8685,0,582,0.721,89.01,27.17,2,36.2530992,6002,1.135,0.2,4.424
8686,0,747,0.396,88.28,73.5,2,4.02321842,4671,0.534,-1.3,4.721
8687,0,1046,0.286,88.74,283.25,2,7.5017934,6321,1.207,0.07,4.417
8688,0,1840,0.956,66.3,2705.58,2,0.912351255,5481,0.915,0.16,4.369
8689,0,1074,0.569,88.51,313.87,1,12.4701111,5623,1.221,0.16,3.877
8690,0,2051,0.965,77.7,4186.71,1,3.495457889,8529,1.572,-0.42,4.249
8691,0,914,0.395,88.48,165.12,1,5.8229815,5704,0.897,-0.3,4.575
8692,0,1016,0.911,85.52,252.13,1,4.01668015,5448,0.721,-0.5,4.497
8693,0,1673,0.739,66.86,1856.23,1,1.89134156,6387,1.145,-0.12,4.41
8694,0,2946,0.829,80.47,17809.19,1,2.881100027,8104,1.957,-0.34,3.675
8695,0,2046,0.697,48.46,4119.09,1,0.806277023,6122,1.07,-0.1,4.471
8696,0,2072,0.004,89.85,4335.56,1,0.513482156,5495,0.887,-0.02,4.495
8697,0,331,0.3037,89.95,2.82,3,225.66716,6363,1.083,-0.26,4.444
8698,0,1079,0.242,88.67,319.94,1,4.24748886,5807,1.036,0.07,4.524
8699,0,2858,0.097,89.12,15781.19,1,1.000012952,5176,1.621,0.12,3.534
8700,0,1347,0.467,83.29,775.9,1,0.878803439,4524,0.727,0.24,4.566
8701,0,1223,0.712,81.74,530.79,1,1.560158562,4926,0.724,-0.12,4.548
8702,0,660,0.957,89.46,44.91,1,34.18830271,5757,0.898,-0.24,4.134
8703,0,764,0.369,89.63,80.51,1,8.65303996,5301,0.869,0.06,4.528
8704,0,493,0.701,88.95,13.95,1,8.65311903,3929,0.559,-0.1,4.705
8705,0,823,0.1583,88.24,108.46,1,12.4253812,5925,1.07,0.12,4.412
8706,0,599,0.9066,64.17,30.49,1,12.42555999,4922,0.681,-0.32,4.576
8707,0,1551,0.963,52.65,1369.63,1,12.4257442,8691,2.069,0.07,4.072
8708,0,755,0.938,59.01,76.9,1,12.4254241,5853,0.99,-0.1,4.529
8709,0,1486,0.496,82.6,1154.88,1,2.991884392,6596,1.098,-0.42,4.4
8710,0,1642,0.935,67.93,1714.88,1,1.795273026,6363,1.065,-0.32,4.456
8711,0,1961,0.4041,79.07,3494.52,1,0.755109271,5606,0.829,-0.22,4.39
8712,0,680,0.523,71.5,50.92,1,0.755101141,3256,0.184,0,5.071
8713,0,1447,0.738,74.6,1035.27,1,1.75251585,5952,0.932,-0.36,4.554
8714,0,1552,0.728,76.81,1372.36,1,1.752450163,5779,0.827,-0.38,4.364
8715,0,815,0.187,89.6,104.49,1,8.27923132,5631,0.946,-0.06,4.557
8716,0,1507,0.518,84.79,1221.98,1,2.212877035,6153,0.927,-0.46,4.405
